date,regime,volatility,drawdown,trend_signal,risk_multiplier,benchmark,detection_method
2020-06-19,0,0.29460475658074675,-0.02644283519859553,1,0.5,A,rules
2020-06-22,1,0.2357292514453443,-0.02863726135615536,1,1.0,A,rules
2020-06-23,1,0.23316020383763222,-0.020408163265306117,1,1.0,A,rules
2020-06-24,0,0.2599950250955672,-0.050252359008119356,1,0.5,A,rules
2020-06-25,0,0.26072404856185644,-0.042571867456660036,1,0.5,A,rules
2020-06-26,0,0.25920842099902164,-0.05749396532806665,1,0.5,A,rules
2020-06-29,0,0.25531045806783376,-0.04224270353302605,1,0.5,A,rules
2020-06-30,0,0.25927774420867217,-0.03039280228220316,1,0.5,A,rules
2020-07-01,0,0.2590903822361825,-0.03324555628703096,1,0.5,A,rules
2020-07-02,0,0.25879614386807365,-0.02699144173798545,1,0.5,A,rules
2020-07-06,0,0.25898185245230754,-0.020078999341672135,1,0.5,A,rules
2020-07-07,0,0.25898558775982644,-0.021176212420452128,1,0.5,A,rules
2020-07-08,0,0.2586005384417204,-0.017555409260478324,1,0.5,A,rules
2020-07-09,0,0.25903830099763797,-0.013385999561114756,1,0.5,A,rules
2020-07-10,1,0.16790553362590568,-0.018872064955014253,1,1.0,A,rules
2020-07-13,1,0.16414973129724392,-0.020627605881062053,1,1.0,A,rules
2020-07-14,1,0.1694997737463816,-0.004937458854509577,1,1.0,A,rules
2020-07-15,1,0.1864521696647701,0.0,1,1.0,A,rules
2020-07-16,1,0.1865773153841603,-0.00021533161068040506,1,1.0,A,rules
2020-07-17,1,0.19261006208865616,0.0,1,1.0,A,rules
2020-07-20,1,0.1934098798625467,0.0,1,1.0,A,rules
2020-07-21,1,0.19286028336016972,0.0,1,1.0,A,rules
2020-07-22,1,0.19218714348268404,0.0,1,1.0,A,rules
2020-07-23,2,0.14330605398164642,0.0,1,1.2,A,rules
2020-07-24,1,0.16751170851854522,-0.019139250982826345,1,1.0,A,rules
2020-07-27,1,0.16728674217965622,0.0,1,1.0,A,rules
2020-07-28,1,0.18747886612584821,-0.020252904287036074,1,1.0,A,rules
2020-07-29,1,0.19248297277746199,-0.0017477125526884107,1,1.0,A,rules
2020-07-30,1,0.19990751455229167,-0.013776087180014282,1,1.0,A,rules
2020-07-31,1,0.19974862183382747,-0.009663822350159328,1,1.0,A,rules
2020-08-03,1,0.21770977172145797,0.0,1,1.0,A,rules
2020-08-04,1,0.22930682176402117,-0.01574326369966699,1,1.0,A,rules
2020-08-05,1,0.22930722335586187,-0.012110202845897698,1,1.0,A,rules
2020-08-06,1,0.23155739920097113,-0.016550610556060153,1,1.0,A,rules
2020-08-07,1,0.22875239349290155,-0.01322030477343831,1,1.0,A,rules
2020-08-10,1,0.23111867136169145,-0.01967907962458374,1,1.0,A,rules
2020-08-11,1,0.2311695220402063,-0.028156221616712142,1,1.0,A,rules
2020-08-12,1,0.22139509739119506,-0.014734080129175577,1,1.0,A,rules
2020-08-13,1,0.2234123049910471,-0.003229387425572786,1,1.0,A,rules
2020-08-14,1,0.22589088703134544,-0.017357957412453315,1,1.0,A,rules
2020-08-17,1,0.22426621456731624,-0.015945100413765245,1,1.0,A,rules
2020-08-18,1,0.22284150599746935,-0.01241295791704515,1,1.0,A,rules
2020-08-19,1,0.2226622119181065,-0.011403774346553736,1,1.0,A,rules
2020-08-20,1,0.22269403169181584,-0.01322030477343831,1,1.0,A,rules
2020-08-21,1,0.21042436721649005,-0.007972550206882695,1,1.0,A,rules
2020-08-24,1,0.19224058367112887,-0.01503683520032303,1,1.0,A,rules
2020-08-25,1,0.1777315640259788,-0.007568876778686043,1,1.0,A,rules
2020-08-26,1,0.16891126791347214,0.0,1,1.0,A,rules
2020-08-27,1,0.16248062681897943,-0.0031209100976543067,1,1.0,A,rules
2020-08-28,1,0.1643089095523049,0.0,1,1.0,A,rules
2020-08-31,2,0.13140970029359034,0.0,1,1.2,A,rules
2020-09-01,2,0.11773751309354501,0.0,1,1.2,A,rules
2020-09-02,2,0.13919319188630866,0.0,1,1.2,A,rules
2020-09-03,1,0.1962502929461698,-0.036549990330690396,1,1.0,A,rules
2020-09-04,1,0.22173866570548953,-0.06362405724231288,1,1.0,A,rules
2020-09-08,1,0.22911362958202183,-0.08006188358151228,1,1.0,A,rules
2020-09-09,0,0.2507938033669989,-0.05308450976600266,1,0.5,A,rules
2020-09-10,1,0.24715196040530438,-0.046896151614774784,1,1.0,A,rules
2020-09-11,1,0.24366102311505344,-0.04660607232643596,1,1.0,A,rules
2020-09-14,1,0.23931577195592804,-0.03867723844517501,1,1.0,A,rules
2020-09-15,1,0.2411722994007223,-0.02949139431444592,1,1.0,A,rules
2020-09-16,1,0.241971035028929,-0.033842583639528134,1,1.0,A,rules
2020-09-17,1,0.24246559082438757,-0.03693676271514221,1,1.0,A,rules
2020-09-18,1,0.2425256278748305,-0.03906401082962682,1,1.0,A,rules
2020-09-21,1,0.24651141958009143,-0.05115064784374402,1,1.0,A,rules
2020-09-22,1,0.24560023499237815,-0.04641268613420999,1,1.0,A,rules
2020-09-23,0,0.2520954469228071,-0.06294720556952238,1,0.5,A,rules
2020-09-24,1,0.2494780810918117,-0.06845871204795975,1,1.0,A,rules
2020-09-25,0,0.255265049604367,-0.05540514407271325,1,0.5,A,rules
2020-09-28,0,0.26229001374788874,-0.03780700058015855,1,0.5,A,rules
2020-09-29,0,0.2628930672055248,-0.03094179075614004,1,0.5,A,rules
2020-09-30,0,0.2629688854309071,-0.023979887836008545,1,0.5,A,rules
2020-10-01,1,0.24930049226631756,-0.021272481144846284,1,1.0,A,rules
2020-10-02,1,0.21575628253010146,-0.03297234577451166,1,1.0,A,rules
2020-10-05,1,0.2148255337829541,-0.0029007928833880985,1,1.0,A,rules
2020-10-06,1,0.211090175583505,-0.01730806420421588,1,1.0,A,rules
2020-10-07,1,0.20066297350888976,0.0,1,1.0,A,rules
2020-10-08,1,0.2002355356509942,0.0,1,1.0,A,rules
2020-10-09,1,0.20479057953171978,0.0,1,1.0,A,rules
2020-10-12,1,0.20531272672058645,-0.003120272314674719,1,1.0,A,rules
2020-10-13,1,0.2040912471258743,-0.0032148260211800625,1,1.0,A,rules
2020-10-14,1,0.2036386092942719,-0.006618759455370677,1,1.0,A,rules
2020-10-15,1,0.20249103302082777,-0.004160363086233093,1,1.0,A,rules
